0.033333 0.033333 0.064382
0.033333 0.066667 0.095438
0.033333 0.100000 0.126456
0.033333 0.133333 0.157400
0.033333 0.166667 0.188234
0.033333 0.200000 0.218921
0.033333 0.233333 0.249425
0.033333 0.266667 0.279710
0.033333 0.300000 0.309740
0.033333 0.333333 0.339480
0.033333 0.366667 0.368895
0.033333 0.400000 0.397950
0.033333 0.433333 0.426612
0.033333 0.466667 0.454847
0.033333 0.500000 0.482621
0.033333 0.533333 0.509903
0.033333 0.566667 0.536660
0.033333 0.600000 0.562861
0.033333 0.633333 0.588476
0.033333 0.666667 0.613475
0.033333 0.700000 0.637828
0.033333 0.733333 0.661508
0.033333 0.766667 0.684486
0.033333 0.800000 0.706736
0.033333 0.833333 0.728232
0.033333 0.866667 0.748948
0.033333 0.900000 0.768861
0.033333 0.933333 0.787948
0.033333 0.966667 0.806186
0.033333 1.000000 0.823553
0.033333 1.033333 0.840030
0.033333 1.066667 0.855598
0.033333 1.100000 0.870237
0.033333 1.133333 0.883931
0.033333 1.166667 0.896664
0.033333 1.200000 0.908420
0.033333 1.233333 0.919186
0.033333 1.266667 0.928950
0.033333 1.300000 0.937698
0.033333 1.333333 0.945421
0.033333 1.366667 0.952110
0.033333 1.400000 0.957757
0.033333 1.433333 0.962353
0.033333 1.466667 0.965895
0.033333 1.500000 0.968376
0.033333 1.533333 0.969794
0.033333 1.566667 0.970147
0.033333 1.600000 0.969433
0.033333 1.633333 0.967653
0.033333 1.666667 0.964807
0.033333 1.700000 0.960900
0.033333 1.733333 0.955934
0.033333 1.766667 0.949915
0.033333 1.800000 0.942848
0.033333 1.833333 0.934741
0.033333 1.866667 0.925603
0.033333 1.900000 0.915443
0.033333 1.933333 0.904273
0.033333 1.966667 0.892103
0.033333 2.000000 0.878948
0.033333 2.033333 0.864822
0.033333 2.066667 0.849739
0.033333 2.100000 0.833716
0.033333 2.133333 0.816771
0.033333 2.166667 0.798922
0.033333 2.200000 0.780188
0.033333 2.233333 0.760590
0.033333 2.266667 0.740150
0.033333 2.300000 0.718890
0.033333 2.333333 0.696833
0.033333 2.366667 0.674003
0.033333 2.400000 0.650426
0.033333 2.433333 0.626127
0.033333 2.466667 0.601133
0.033333 2.500000 0.575472
0.033333 2.533333 0.549171
0.033333 2.566667 0.522260
0.033333 2.600000 0.494769
0.033333 2.633333 0.466728
0.033333 2.666667 0.438167
0.033333 2.700000 0.409118
0.033333 2.733333 0.379614
0.033333 2.766667 0.349686
0.033333 2.800000 0.319368
0.033333 2.833333 0.288693
0.033333 2.866667 0.257696
0.033333 2.900000 0.226410
0.033333 2.933333 0.194870
0.033333 2.966667 0.163110
0.033333 3.000000 0.131167
0.033333 3.033333 0.099074
0.033333 3.066667 0.066869
0.033333 3.100000 0.034585
0.033333 3.133333 0.002260
0.033333 3.166667 -0.030072
0.033333 3.200000 -0.062375
0.033333 3.233333 -0.094613
0.033333 3.266667 -0.126749
0.033333 3.300000 -0.158750
0.033333 3.333333 -0.190579
0.033333 3.366667 -0.222201
